1,Ciutat Vella,41.38022,2.17319
2,Eixample,41.3922,2.1649
3,Sants-Montjuïc,41.351,2.1457
4,Les Corts,41.3835,2.1168
5,Sarrià-Sant Gervasi,41.4144,2.1056
6,Gràcia,41.4098,2.1539
7,Horta-Guinardó,41.4353,2.1478
8,Nou Barris,41.4462,2.1797
9,Sant Andreu,41.4337,2.1858
10,Sant Martí,41.4066,2.1984
